 0.8544,"In the name of Allah, Most Gracious, Most Merciful.","Gracious is the LORD, and righteous; yea, our God is merciful."
 0.9429,"Say, ""The truth is from your Lord"": Let him who will believe, and let him who will, reject (it): for the wrong-doers We have prepared a Fire whose (smoke and flames), like the walls and roof of a tent, will hem them in: if they implore relief they will be granted water like melted brass, that will scald their faces, how dreadful the drink! How uncomfortable a couch to recline on!","When heaven is shut up, and there is no rain, because they have sinned against thee; if they pray toward this place, and confess thy name, and turn from their sin, when thou afflictest them:"
 0.9483,"As to those who believe and work righteousness, verily We shall not suffer to perish the reward of any who do a (single) righteous deed.","All the sinners of my people shall die by the sword, which say, The evil shall not overtake nor prevent us."
 0.8983,"For them will be Gardens of Eternity; beneath them rivers will flow; they will be adorned therein with bracelets of gold, and they will wear green garments of fine silk and heavy brocade: They will recline therein on raised thrones. How good the recompense! How beautiful a couch to recline on!","For thus saith the LORD, Behold, I will extend peace to her like a river, and the glory of the Gentiles like a flowing stream: then shall ye suck, ye shall be borne upon her sides, and be dandled upon her knees."
 0.9315,Set forth to them the parable of two men: for one of them We provided two gardens of grape-vines and surrounded them with date palms; in between the two We placed corn-fields.,"He spake also this parable; A certain man had a fig tree planted in his vineyard; and he came and sought fruit thereon, and found none."
 0.9300,"Each of those gardens brought forth its produce, and failed not in the least therein: in the midst of them We caused a river to flow.","In the midst of the street of it, and on either side of the river, was there the tree of life, which bare twelve manner of fruits, and yielded her fruit every month: and the leaves of the tree were for the healing of the nations."
 0.9194,"(Abundant) was the produce this man had: he said to his companion, in the course of a mutual argument: ""more wealth have I than you, and more honour and power in (my following of) men.""","And the saying pleased me well: and I took twelve men of you, one of a tribe:"
 0.9407,"He went into his garden in a state (of mind) unjust to his soul: He said, ""I deem not that this will ever perish,","And when he was called forth, Tertullus began to accuse him, saying, Seeing that by thee we enjoy great quietness, and that very worthy deeds are done unto this nation by thy providence,"
 0.9163,"""Nor do I deem that the Hour (of Judgment) will (ever) come: Even if I am brought back to my Lord, I shall surely find (there) something better in exchange.""","I tell you that he will avenge them speedily. Nevertheless when the Son of man cometh, shall he find faith on the earth?"
 0.9147,"His companion said to him, in the course of the argument with him: ""Dost thou deny Him Who created thee out of dust, then out of a sperm-drop, then fashioned thee into a man?","And Isaac his father answered and said unto him, Behold, thy dwelling shall be the fatness of the earth, and of the dew of heaven from above;"
 0.9327,"""But (I think) for my part that He is Allah, My Lord, and none shall I associate with my Lord.","Now therefore when I come to thy servant my father, and the lad be not with us; seeing that his life is bound up in the lad's life;"
 0.9369,"""Why didst thou not, as thou wentest into thy garden, say: 'Allah's will (be done)! There is no power but with Allah!' If thou dost see me less than thee in wealth and sons,","Go and get thee in unto king David, and say unto him, Didst not thou, my lord, O king, swear unto thine handmaid, saying, Assuredly Solomon thy son shall reign after me, and he shall sit upon my throne? why then doth Adonijah reign?"
 0.9487,"""It may be that my Lord will give me something better than thy garden, and that He will send on thy garden thunderbolts (by way of reckoning) from heaven, making it (but) slippery sand!-","The LORD of hosts hath sworn by himself, saying, Surely I will fill thee with men, as with caterpillers; and they shall lift up a shout against thee."
 0.8920,"""Or the water of the garden will run off underground so that thou wilt never be able to find it.""",Cast thy bread upon the waters: for thou shalt find it after many days.
 0.9208,"So his fruits (and enjoyment) were encompassed (with ruin), and he remained twisting and turning his hands over what he had spent on his property, which had (now) tumbled to pieces to its very foundations, and he could only say, ""Woe is me! Would I had never ascribed partners to my Lord and Cherisher!""","And when he came to himself, he said, How many hired servants of my father's have bread enough and to spare, and I perish with hunger!"
 0.9263,"Nor had he numbers to help him against Allah, nor was he able to deliver himself.","And being fully persuaded that, what he had promised, he was able also to perform."
