 1.0000,In the beginning God created the heaven and the earth.,In the beginning God created the heaven and the earth.
 1.0000,"And for those that are to be redeemed of the two hundred and threescore and thirteen of the firstborn of the children of Israel, which are more than the Levites;","And for those that are to be redeemed of the two hundred and threescore and thirteen of the firstborn of the children of Israel, which are more than the Levites;"
 1.0000,"Thou shalt even take five shekels apiece by the poll, after the shekel of the sanctuary shalt thou take them: (the shekel is twenty gerahs:)","Thou shalt even take five shekels apiece by the poll, after the shekel of the sanctuary shalt thou take them: (the shekel is twenty gerahs:)"
 1.0000,"And thou shalt give the money, wherewith the odd number of them is to be redeemed, unto Aaron and to his sons.","And thou shalt give the money, wherewith the odd number of them is to be redeemed, unto Aaron and to his sons."
 1.0000,And Moses took the redemption money of them that were over and above them that were redeemed by the Levites:,And Moses took the redemption money of them that were over and above them that were redeemed by the Levites:
 1.0000,"Of the firstborn of the children of Israel took he the money; a thousand three hundred and threescore and five shekels, after the shekel of the sanctuary:","Of the firstborn of the children of Israel took he the money; a thousand three hundred and threescore and five shekels, after the shekel of the sanctuary:"
 1.0000,"And Moses gave the money of them that were redeemed unto Aaron and to his sons, according to the word of the LORD, as the LORD commanded Moses.","And Moses gave the money of them that were redeemed unto Aaron and to his sons, according to the word of the LORD, as the LORD commanded Moses."
 1.0000,"And the LORD spake unto Moses and unto Aaron, saying,","And the LORD spake unto Moses and unto Aaron, saying,"
 1.0000,"Take the sum of the sons of Kohath from among the sons of Levi, after their families, by the house of their fathers,","Take the sum of the sons of Kohath from among the sons of Levi, after their families, by the house of their fathers,"
 1.0000,"From thirty years old and upward even until fifty years old, all that enter into the host, to do the work in the tabernacle of the congregation.","From thirty years old and upward even until fifty years old, all that enter into the host, to do the work in the tabernacle of the congregation."
 1.0000,"This shall be the service of the sons of Kohath in the tabernacle of the congregation, about the most holy things:","This shall be the service of the sons of Kohath in the tabernacle of the congregation, about the most holy things:"
 1.0000,"And when the camp setteth forward, Aaron shall come, and his sons, and they shall take down the covering vail, and cover the ark of testimony with it:","And when the camp setteth forward, Aaron shall come, and his sons, and they shall take down the covering vail, and cover the ark of testimony with it:"
 1.0000,"And shall put thereon the covering of badgers' skins, and shall spread over it a cloth wholly of blue, and shall put in the staves thereof.","And shall put thereon the covering of badgers' skins, and shall spread over it a cloth wholly of blue, and shall put in the staves thereof."
 1.0000,"And upon the table of showbread they shall spread a cloth of blue, and put thereon the dishes, and the spoons, and the bowls, and covers to cover withal: and the continual bread shall be thereon:","And upon the table of showbread they shall spread a cloth of blue, and put thereon the dishes, and the spoons, and the bowls, and covers to cover withal: and the continual bread shall be thereon:"
 1.0000,"And they shall spread upon them a cloth of scarlet, and cover the same with a covering of badgers' skins, and shall put in the staves thereof.","And they shall spread upon them a cloth of scarlet, and cover the same with a covering of badgers' skins, and shall put in the staves thereof."
 1.0000,"And they shall take a cloth of blue, and cover the candlestick of the light, and his lamps, and his tongs, and his snuffdishes, and all the oil vessels thereof, wherewith they minister unto it:","And they shall take a cloth of blue, and cover the candlestick of the light, and his lamps, and his tongs, and his snuffdishes, and all the oil vessels thereof, wherewith they minister unto it:"
