 0.9243,In the beginning God created the heaven and the earth.,A revelation from Him Who created the earth and the heavens on high.
 0.9317,"O that they were wise, that they understood this, that they would consider their latter end!",That they may enjoy the fruits of this (artistry): It was not their hands that made this: will they not then give thanks?
 0.9036,"How should one chase a thousand, and two put ten thousand to flight, except their Rock had sold them, and the LORD had shut them up?","""Except a messenger whom He has chosen: and then He makes a band of watchers march before him and behind him,"
 0.9334,"For their rock is not as our Rock, even our enemies themselves being judges.","For those who reject their Lord (and Cherisher) is the Penalty of Hell: and evil is (such), Destination."
 0.9349,"For their vine is of the vine of Sodom, and of the fields of Gomorrah: their grapes are grapes of gall, their clusters are bitter:",The parable of the Garden which the righteous are promised!- beneath it flow rivers: perpetual is the enjoyment thereof and the shade therein: such is the end of the Righteous; and the end of Unbelievers in the Fire.
 0.9177,"Their wine is the poison of dragons, and the cruel venom of asps.","Their abode is the Fire, because of the (evil) they earned."
 0.9114,"Is not this laid up in store with me, and sealed up among my treasures?","In Book well-guarded,"
 0.9444,"To me belongeth vengeance and recompence; their foot shall slide in due time: for the day of their calamity is at hand, and the things that shall come upon them make haste.","Every soul that hath sinned, if it possessed all that is on earth, would fain give it in ransom: They would declare (their) repentance when they see the penalty: but the judgment between them will be with justice, and no wrong will be done unto them."
 0.9347,"For the LORD shall judge his people, and repent himself for his servants, when he seeth that their power is gone, and there is none shut up, or left.","Send not away those who call on their Lord morning and evening, seeking His face. In naught art thou accountable for them, and in naught are they accountable for thee, that thou shouldst turn them away, and thus be (one) of the unjust."
 0.9352,"And he shall say, Where are their gods, their rock in whom they trusted,","Then shall it be said to them: ""Where are the (deities) to which ye gave part-worship-"
 0.9384,"Which did eat the fat of their sacrifices, and drank the wine of their drink offerings? let them rise up and help you, and be your protection.","To every people did We appoint rites (of sacrifice), that they might celebrate the name of Allah over the sustenance He gave them from animals (fit for food). But your god is One God: submit then your wills to Him (in Islam): and give thou the good news to those who humble themselves,-"
 0.9254,"See now that I, even I, am he, and there is no god with me: I kill, and I make alive; I wound, and I heal: neither is there any that can deliver out of my hand.","A Sign for them is the earth that is dead: We do give it life, and produce grain therefrom, of which ye do eat."
 0.8873,"For I lift up my hand to heaven, and say, I live for ever.","""For me, I have set my face, firmly and truly, towards Him Who created the heavens and the earth, and never shall I give partners to Allah."""
 0.9375,"If I whet my glittering sword, and mine hand take hold on judgment; I will render vengeance to mine enemies, and will reward them that hate me.","And when the Word is fulfilled against them (the unjust), we shall produce from the earth a beast to (face) them: He will speak to them, for that mankind did not believe with assurance in Our Signs."
 0.9257,"I will make mine arrows drunk with blood, and my sword shall devour flesh; and that with the blood of the slain and of the captives, from the beginning of revenges upon the enemy.","And their Lord hath accepted of them, and answered them: ""Never will I suffer to be lost the work of any of you, be he male or female: Ye are members, one of another: Those who have left their homes, or been driven out therefrom, or suffered harm in My Cause, or fought or been slain,- verily, I will blot out from them their iniquities, and admit them into Gardens with rivers flowing beneath;- A reward from the presence of Allah, and from His presence is the best of rewards."""
 0.9339,"Rejoice, O ye nations, with his people: for he will avenge the blood of his servants, and will render vengeance to his adversaries, and will be merciful unto his land, and to his people.","""And O my people! Ask forgiveness of your Lord, and turn to Him (in repentance): He will send you the skies pouring abundant rain, and add strength to your strength: so turn ye not back in sin!"""
 0.9375,"And Moses came and spake all the words of this song in the ears of the people, he, and Hoshea the son of Nun.","We did aforetime give Moses the (Book of) Guidance, and We gave the book in inheritance to the Children of Israel,-"
 0.9273,And Moses made an end of speaking all these words to all Israel:,"When the anger of Moses was appeased, he took up the tablets: in the writing thereon was guidance and Mercy for such as fear their Lord."
